Symbol,Margin,Leverage
CONFIPET,20,5
CONSUMBEES,20,5
CONTROLPR,20,5
COROMANDEL,20,5
CORONA,20,5
COSMOFIRST,20,5
CPPLUS,20,5
CPSEETF,20,5
CRAFTSMAN,20,5
CRAMC,20,5
CREDITACC,20,5
CRISIL,20,5
CRIZAC,20,5
CROMPTON,20,5
CSBBANK,20,5
CSLFINANCE,20,5
CUB,20,5
CUMMINSIND,20,5
CUPID,20,5
CYIENT,20,5
CYIENTDLM,20,5
DABUR,20,5
DALBHARAT,20,5
DALMIASUG,20,5
DAMCAPITAL,20,5
DATAMATICS,20,5
DATAPATTNS,20,5
DBCORP,20,5
DBL,20,5
DBOL,20,5
DBREALTY,20,5
DCAL,20,5
DCBBANK,20,5
DCMSHRIRAM,20,5
DCMSRIND,20,5
DCW,20,5
DCXINDIA,20,5
DDEVPLSTIK,20,5
DECCANCE,20,5
DECNGOLD,20,5
DEEDEV,20,5
DEEPAKFERT,20,5
DEEPAKNTR,20,5
DEEPINDS,20,5
DELHIVERY,20,5
DELTACORP,20,5
DEN,20,5
DENTA,20,5
DEVX,20,5
DEVYANI,20,5
DHAMPURSUG,20,5
DHANBANK,20,5
DHANUKA,20,5
DIACABS,20,5
DIAMONDYD,20,5
DIFFNKG,20,5
DIGITIDE,20,5
DIVISLAB,20,5
DIXON,20,5
DJML,20,5
DLF,20,5
DLINKINDIA,20,5
DMART,20,5
DODLA,20,5
DOLATALGO,20,5
DOLLAR,20,5
DOLPHIN,100,1
DOMS,20,5
DPABHUSHAN,20,5
DREAMFOLKS,20,5
DREDGECORP,20,5
DRREDDY,20,5
DSSL,20,5
DWARKESH,20,5
DYCL,20,5
DYNAMATECH,20,5
E2E,20,5
EASEMYTRIP,20,5
EBBETF0430,20,5
EBBETF0431,20,5
EBBETF0433,20,5
EBGNG,20,5
ECLERX,20,5
ECORECO,20,5
ECOSMOBLTY,20,5
EDELWEISS,20,5
EFCIL,20,5
EGOLD,20,5
EICHERMOT,20,5
EIDPARRY,20,5
EIEL,20,5
EIHAHOTELS,20,5
EIHOTEL,20,5
EIMCOELECO,20,5
EKC,20,5
