Symbol,Margin,Leverage
SHARDAMOTR,20,5
SHAREINDIA,20,5
SHILCTECH,20,5
SHILPAMED,20,5
SHK,20,5
SHOPERSTOP,20,5
SHREDIGCEM,20,5
SHREECEM,20,5
SHREEJISPG,20,5
SHREEPUSHK,20,5
SHRINGARMS,20,5
SHRIPISTON,20,5
SHRIRAMFIN,20,5
SHRIRAMPPS,20,5
SHYAMMETL,20,5
SIEMENS,20,5
SIGACHI,20,5
SIGNATURE,20,5
SIKA,20,5
SILGO,20,5
SILVER,20,5
SILVER1,20,5
SILVERADD,20,5
SILVERAG,20,5
SILVERBEES,20,5
SILVERCASE,20,5
SILVERETF,20,5
SILVERIETF,20,5
SILVERTUC,20,5
SIMPLEXINF,20,5
SINDHUTRAD,20,5
SIRCA,20,5
SIS,20,5
SIYSIL,20,5
SJS,20,5
SJVN,20,5
SKFINDIA,20,5
SKIPPER,20,5
SKMEGGPROD,20,5
SKYGOLD,20,5
SMALLCAP,20,5
SMARTWORKS,20,5
SMCGLOBAL,20,5
SMLMAH,20,5
SMSPHARMA,20,5
SOBHA,20,5
SOLARA,20,5
SOLARINDS,20,5
SOLARWORLD,20,5
SOLEX,20,5
SONACOMS,20,5
SONATSOFTW,20,5
SOTL,20,5
SOUTHBANK,20,5
SPAL,20,5
SPANDANA,20,5
SPARC,20,5
SPIC,20,5
SPICEJET,20,5
SPLPETRO,20,5
SPMLINFRA,20,5
SRF,20,5
SRM,20,5
SSWL,20,5
STANLEY,20,5
STAR,20,5
STARCEMENT,20,5
STARHEALTH,20,5
STCINDIA,20,5
STEELCAS,20,5
STERTOOLS,20,5
STLNETWORK,20,5
STLTECH,20,5
STOVEKRAFT,20,5
STUDDS,20,5
STYL,20,5
STYLAMIND,20,5
STYLEBAAZA,20,5
STYRENIX,20,5
SUBEXLTD,20,5
SUBROS,20,5
SUDARSCHEM,20,5
SUDEEPPHRM,20,5
SULA,20,5
SUMICHEM,20,5
SUMMITSEC,20,5
SUNCLAY,20,5
SUNDARMFIN,20,5
SUNDRMFAST,20,5
SUNDROP,20,5
SUNFLAG,20,5
SUNPHARMA,20,5
SUNTECK,20,5
SUNTV,20,5
SUPRAJIT,20,5
SUPREMEIND,20,5
SUPRIYA,20,5
SURAJEST,20,5
SURYAROSNI,20,5
SURYODAY,20,5
SUVEN,20,5
SUYOG,20,5
SUZLON,20,5
SWANCORP,20,5
SWARAJENG,20,5
SWELECTES,20,5
SWIGGY,20,5
SWSOLAR,20,5
SYMPHONY,20,5
SYNCOMF,20,5
SYNGENE,20,5
SYRMA,20,5
SYSTMTXC,20,5
TAJGVK,20,5
TALBROAUTO,20,5
TANFACIND,20,5
TANLA,20,5
TARACHAND,20,5
TARC,20,5
TARIL,20,5
TARSONS,20,5
TASTYBITE,20,5
TATACAP,20,5
TATACHEM,20,5
TATACOMM,20,5
TATACONSUM,20,5
TATAELXSI,20,5
TATAGOLD,20,5
TATAINVEST,20,5
TATAPOWER,20,5
TATASTEEL,20,5
TATATECH,20,5
TATSILV,20,5
TATVA,20,5
TBOTEK,20,5
TBZ,20,5
TCC,20,5
TCI,20,5
TCIEXP,20,5
TCPLPACK,20,5
TCS,20,5
TDPOWERSYS,20,5
TEAMGTY,20,5
TEAMLEASE,20,5
TECHM,20,5
TECHNOE,20,5
TEGA,20,5
TEJASNET,20,5
TENNIND,20,5
TEXINFRA,20,5
TEXRAIL,20,5
TFCILTD,20,5
TGVSL,20,5
THANGAMAYL,20,5
THEJO,20,5
THELEELA,20,5
THERMAX,20,5
THOMASCOOK,20,5
THYROCARE,20,5
TI,20,5
TIIL,20,5
TIINDIA,20,5
TIMETECHNO,20,5
TIMEX,20,5
TIMKEN,20,5
TINNARUBR,20,5
TIPSFILMS,20,5
TIPSMUSIC,20,5
TIRUMALCHM,20,5
TITAGARH,20,5
TITAN,20,5
TMB,20,5
TMCV,20,5
TMPV,20,5
TNPETRO,20,5
TOLINS,20,5
TOP10ADD,20,5
TORNTPHARM,20,5
TORNTPOWER,20,5
TRACXN,20,5
TRANSRAILL,20,5
TRAVELFOOD,20,5
TRENT,20,5
TRIDENT,20,5
TRITURBINE,20,5
TRIVENI,20,5
TRUALT,20,5
TSFINV,20,5
TTKPRESTIG,20,5
TTML,20,5
TVSHLTD,20,5
TVSMOTOR,20,5
TVSSCS,20,5
TVSSRICHAK,20,5
UBL,20,5
UCOBANK,20,5
UDS,20,5
UFLEX,20,5
UGARSUGAR,20,5
UGROCAP,20,5
UJJIVANSFB,20,5
ULTRACEMCO,20,5
ULTRAMAR,20,5
UNICHEMLAB,20,5
UNIECOM,20,5
UNIMECH,20,5
UNIONBANK,20,5
UNIPARTS,20,5
UNITDSPR,20,5
UNITECH,20,5
UNIVCABLES,20,5
UNOMINDA,20,5
UPL,20,5
URBANCO,20,5
URJA,20,5
USHAMART,20,5
UTIAMC,20,5
UTIBANKETF,20,5
UTINEXT50,20,5
UTINIFTETF,20,5
UTISENSETF,20,5
UTKARSHBNK,20,5
UTLSOLAR,20,5
UTTAMSUGAR,20,5
V2RETAIL,20,5
VADILALIND,20,5
VAIBHAVGBL,20,5
VAKRANGEE,20,5
VARROC,20,5
VASCONEQ,20,5
VBL,20,5
VEDL,20,5
VEEDOL,20,5
VENKEYS,20,5
VENTIVE,20,5
VENUSPIPES,20,5
VERANDA,20,5
VERTOZ,20,5
VESUVIUS,20,5
VGUARD,20,5
VIDHIING,20,5
VIDYAWIRES,20,5
VIJAYA,20,5
VIKRAMSOLR,20,5
VIKRAN,20,5
VIMTALABS,20,5
VINATIORGA,20,5
VINCOFE,20,5
VINDHYATEL,20,5
VIPIND,20,5
VISHNU,20,5
VLEGOV,20,5
VMART,20,5
VMM,20,5
VOLTAMP,20,5
VOLTAS,20,5
VPRPL,20,5
VRLLOG,20,5
VSSL,20,5
VSTIND,20,5
VSTTILLERS,20,5
VTL,20,5
WAAREEENER,20,5
WAAREERTL,20,5
WABAG,20,5
WAKEFIT,20,5
WALCHANNAG,20,5
WANBURY,20,5
WCIL,20,5
WEBELSOLAR,20,5
WEL,20,5
WELCORP,20,5
WELENT,20,5
WELINV,20,5
WELSPUNLIV,20,5
WENDT,20,5
WESTLIFE,20,5
WEWORK,20,5
WHEELS,20,5
WHIRLPOOL,20,5
WINDLAS,20,5
WINDMACHIN,20,5
WIPRO,20,5
WOCKPHARMA,20,5
WONDERLA,20,5
WPIL,20,5
WSTCSTPAPR,20,5
XPROINDIA,20,5
YATHARTH,20,5
YATRA,20,5
YESBANK,20,5
ZAGGLE,20,5
ZEEL,20,5
ZEEMEDIA,20,5
ZENSARTECH,20,5
ZENTEC,20,5
ZFCVINDIA,20,5
ZOTA,20,5
ZUARI,20,5
ZUARIIND,20,5
ZYDUSLIFE,20,5
ZYDUSWELL,20,5
